Country,Political Side,Distance
Chile,Left,-0.106423679279214
Chile,Left,0.13262703787799393
Chile,Left,-0.25214623820522314
Chile,Left,-0.24535995437959818
Chile,Left,-0.32402073374290924
Chile,Left,0.126767389260636
Chile,Left,-0.27129700128076806
Chile,Left,-0.13526878670170736
Chile,Left,0.25662446967944386
Chile,Left,-0.2436436289363003
Chile,Left,-0.2977925144661525
Chile,Left,0.12905358931889568
Chile,Left,-0.22069562128384723
Chile,Left,-0.2540132893720088
Chile,Left,0.3428504018591225
Chile,Left,-0.041932465604916674
Chile,Left,0.033278728083506
Chile,Left,-0.13269699114332828
Chile,Left,-0.019010520106486947
Chile,Left,-0.019010520106486947
Chile,Left,-0.019010520106486947
Chile,Left,-0.2877589652084175
Chile,Left,-0.1260676920421754
Chile,Left,0.13539473268493324
Chile,Left,0.13539473268493324
Chile,Left,0.13539473268493324
Chile,Left,-0.16173246076732883
Chile,Left,-0.16173246076732883
Chile,Left,-0.22517040872196967
Chile,Left,0.05910632400473497
Chile,Left,-0.13075307477151246
Chile,Left,0.016976508708565725
Chile,Left,0.04354081280638177
Chile,Left,0.04354081280638177
Chile,Left,-0.2811721997207145
Chile,Left,-0.12592605033778526
Chile,Left,-0.12592605033778526
Chile,Left,-0.12592605033778526
Chile,Left,-0.2024006924567205
Chile,Left,-0.2024006924567205
Chile,Left,-0.2991122623315018
Chile,Left,-0.2991122623315018
Chile,Left,-0.2991122623315018
Chile,Left,-0.21197290252534354
Chile,Left,-0.21197290252534354
Chile,Left,-0.21197290252534354
Chile,Left,-0.07675480654067955
Chile,Left,-0.07675480654067955
Chile,Left,-0.37666352364361366
Chile,Left,0.035511622306320614
Chile,Left,-0.08096516411058315
Chile,Left,-0.044651833841521014
Chile,Left,-0.11197507276786815
Chile,Left,-0.1613200982324829
Chile,Left,-0.1613200982324829
Chile,Left,-0.2534095524764277
Chile,Left,0.19642766019872687
Chile,Left,0.19642766019872687
Chile,Left,-0.21492278270296952
Chile,Left,-0.21492278270296952
