FPR,TPR
0.0,0.0
0.008064516129032258,0.022727272727272728
0.016129032258064516,0.022727272727272728
0.016129032258064516,0.045454545454545456
0.024193548387096774,0.06818181818181818
0.024193548387096774,0.09090909090909091
0.03225806451612903,0.09090909090909091
0.056451612903225805,0.09090909090909091
0.06451612903225806,0.09090909090909091
0.06451612903225806,0.13636363636363635
0.08064516129032258,0.13636363636363635
0.0967741935483871,0.13636363636363635
0.11290322580645161,0.18181818181818182
0.1532258064516129,0.20454545454545456
0.1693548387096774,0.20454545454545456
0.18548387096774194,0.20454545454545456
0.18548387096774194,0.22727272727272727
0.20161290322580644,0.22727272727272727
0.20967741935483872,0.22727272727272727
0.3064516129032258,0.3409090909090909
0.3548387096774194,0.3409090909090909
0.3870967741935484,0.3409090909090909
0.4032258064516129,0.3409090909090909
0.4274193548387097,0.4318181818181818
0.4274193548387097,0.45454545454545453
0.45161290322580644,0.45454545454545453
0.4596774193548387,0.5
0.47580645161290325,0.5
0.49193548387096775,0.5
0.5080645161290323,0.5681818181818182
0.5241935483870968,0.5681818181818182
0.5725806451612904,0.5909090909090909
0.7016129032258065,0.75
0.7096774193548387,0.75
0.7258064516129032,0.7727272727272727
0.8064516129032258,0.8181818181818182
0.8145161290322581,0.8181818181818182
0.8225806451612904,0.8409090909090909
0.8629032258064516,0.8409090909090909
0.8790322580645161,0.8409090909090909
0.8790322580645161,0.8636363636363636
0.8870967741935484,0.8636363636363636
0.8951612903225806,0.8863636363636364
0.8951612903225806,0.9090909090909091
0.9274193548387096,0.9090909090909091
0.9274193548387096,0.9545454545454546
0.9596774193548387,0.9545454545454546
0.967741935483871,0.9772727272727273
0.9758064516129032,0.9772727272727273
0.9758064516129032,1.0
1.0,1.0
