FPR,TPR
0.0,0.0
0.0,0.023809523809523808
0.0,0.16666666666666666
0.0,0.21428571428571427
0.0,0.42857142857142855
0.008968609865470852,0.42857142857142855
0.008968609865470852,0.4523809523809524
0.008968609865470852,0.5
0.008968609865470852,0.5714285714285714
0.013452914798206279,0.5714285714285714
0.013452914798206279,0.5952380952380952
0.026905829596412557,0.5952380952380952
0.026905829596412557,0.6666666666666666
0.03587443946188341,0.6666666666666666
0.03587443946188341,0.6904761904761905
0.04932735426008968,0.6904761904761905
0.04932735426008968,0.7619047619047619
0.05829596412556054,0.7619047619047619
0.05829596412556054,0.7857142857142857
0.06726457399103139,0.7857142857142857
0.07174887892376682,0.8095238095238095
0.07174887892376682,0.8333333333333334
0.07623318385650224,0.8333333333333334
0.07623318385650224,0.8571428571428571
0.08520179372197309,0.8571428571428571
0.08520179372197309,0.8809523809523809
0.09417040358744394,0.8809523809523809
0.09865470852017937,0.8809523809523809
0.09865470852017937,0.9047619047619048
0.1031390134529148,0.9047619047619048
0.1031390134529148,0.9285714285714286
0.19282511210762332,0.9285714285714286
0.19282511210762332,0.9523809523809523
0.23766816143497757,0.9523809523809523
0.24663677130044842,0.9523809523809523
0.2556053811659193,0.9523809523809523
0.2600896860986547,0.9761904761904762
0.2825112107623318,0.9761904761904762
0.3004484304932735,0.9761904761904762
0.31390134529147984,0.9761904761904762
0.32286995515695066,0.9761904761904762
0.33183856502242154,0.9761904761904762
0.34977578475336324,0.9761904761904762
0.3542600896860987,0.9761904761904762
0.3632286995515695,0.9761904761904762
0.3811659192825112,0.9761904761904762
0.39461883408071746,0.9761904761904762
0.4125560538116592,0.9761904761904762
0.4170403587443946,0.9761904761904762
0.4484304932735426,0.9761904761904762
0.4618834080717489,0.9761904761904762
0.484304932735426,1.0
0.5112107623318386,1.0
0.5291479820627802,1.0
0.5426008968609866,1.0
0.5695067264573991,1.0
0.5919282511210763,1.0
0.6995515695067265,1.0
1.0,1.0
