Votaciones,Accuracy
2-19,0.7974452554744526
20-20,0.7890625
21-25,0.8114602587800369
26-37,0.8192161820480405
38-54,0.835
55-79,0.8616352201257862
80-98,0.8719441210710128
99-133,0.8492520138089759
134-384,0.8828125
