Votaciones,Accuracy
1-14,0.631578947368421
15-21,0.8333333333333334
22-37,0.8571428571428571
38-55,1.0
56-100,0.9444444444444444
105-287,0.8421052631578947
295-427,0.8571428571428571
430-618,0.9285714285714286
630-980,0.8666666666666667
