FPR,TPR
0.0,0.0
0.017937219730941704,0.023809523809523808
0.3542600896860987,0.47619047619047616
0.3632286995515695,0.47619047619047616
0.37668161434977576,0.47619047619047616
0.5336322869955157,0.5952380952380952
0.5381165919282511,0.6428571428571429
0.6860986547085202,0.7142857142857143
0.7219730941704036,0.7380952380952381
0.7713004484304933,0.8333333333333334
0.8789237668161435,0.9761904761904762
0.9372197309417041,1.0
0.9417040358744395,1.0
0.968609865470852,1.0
0.9775784753363229,1.0
1.0,1.0
