Unnamed: 0,id,uuid,option_a,option_b,selected,datetime,score_x,ip_hash,score_async,option_a_sorted,option_b_sorted,card_id,latest,mean,std,registered,is_bot,transitivity,count,rate,score_y,unique_uuid,n_ips,score_pred,delta,prediction,predicted_prob,rate_bots_same_ip,mean_predicted_prob,mean_prediction
29013,20886,006305a3-68b3-4f3c-b826-4223d7e9135b,76,69,76,2019-10-24 14:29:08,,cfabffb482af40b7dd084c471f3cc61014ab795e68ede61cdb0eeee84b1de2a8392d9d8d75ec660f9c425df907f95ff61cd8762ab21c4f6daa35bce2ccd6f1d3,,69,76,1069076,1,1.0,0.0,1,0,0.0263157894736842,50,0.28,0.9,1,1,0,220,0,0,0.0,0.0,0
29017,21027,006305a3-68b3-4f3c-b826-4223d7e9135b,67,9,67,2019-10-24 14:29:21,,cfabffb482af40b7dd084c471f3cc61014ab795e68ede61cdb0eeee84b1de2a8392d9d8d75ec660f9c425df907f95ff61cd8762ab21c4f6daa35bce2ccd6f1d3,,9,67,1009067,1,1.0,0.0,1,0,0.0263157894736842,50,0.28,0.9,1,1,0,220,0,0,0.0,0.0,0
29016,20983,006305a3-68b3-4f3c-b826-4223d7e9135b,57,24,57,2019-10-24 14:29:18,,cfabffb482af40b7dd084c471f3cc61014ab795e68ede61cdb0eeee84b1de2a8392d9d8d75ec660f9c425df907f95ff61cd8762ab21c4f6daa35bce2ccd6f1d3,,24,57,1024057,1,1.0,0.0,1,0,0.0263157894736842,50,0.28,0.9,1,1,0,220,0,0,0.0,0.0,0
29015,20953,006305a3-68b3-4f3c-b826-4223d7e9135b,87,16,87,2019-10-24 14:29:15,,cfabffb482af40b7dd084c471f3cc61014ab795e68ede61cdb0eeee84b1de2a8392d9d8d75ec660f9c425df907f95ff61cd8762ab21c4f6daa35bce2ccd6f1d3,,16,87,1016087,1,1.0,0.0,1,0,0.0263157894736842,50,0.28,0.9,1,1,0,220,0,0,0.0,0.0,0
29014,20911,006305a3-68b3-4f3c-b826-4223d7e9135b,12,37,37,2019-10-24 14:29:12,,cfabffb482af40b7dd084c471f3cc61014ab795e68ede61cdb0eeee84b1de2a8392d9d8d75ec660f9c425df907f95ff61cd8762ab21c4f6daa35bce2ccd6f1d3,,12,37,1012037,1,1.0,0.0,1,0,0.0263157894736842,50,0.28,0.9,1,1,0,220,0,0,0.0,0.0,0
29012,20793,006305a3-68b3-4f3c-b826-4223d7e9135b,31,87,87,2019-10-24 14:29:00,,cfabffb482af40b7dd084c471f3cc61014ab795e68ede61cdb0eeee84b1de2a8392d9d8d75ec660f9c425df907f95ff61cd8762ab21c4f6daa35bce2ccd6f1d3,,31,87,1031087,1,1.0,0.0,1,0,0.0263157894736842,50,0.28,0.9,1,1,0,220,0,0,0.0,0.0,0
29011,20752,006305a3-68b3-4f3c-b826-4223d7e9135b,53,12,12,2019-10-24 14:28:57,,cfabffb482af40b7dd084c471f3cc61014ab795e68ede61cdb0eeee84b1de2a8392d9d8d75ec660f9c425df907f95ff61cd8762ab21c4f6daa35bce2ccd6f1d3,,12,53,1012053,1,1.0,0.0,1,0,0.0263157894736842,50,0.28,0.9,1,1,0,220,0,0,0.0,0.0,0
29010,20696,006305a3-68b3-4f3c-b826-4223d7e9135b,50,52,50,2019-10-24 14:28:52,,cfabffb482af40b7dd084c471f3cc61014ab795e68ede61cdb0eeee84b1de2a8392d9d8d75ec660f9c425df907f95ff61cd8762ab21c4f6daa35bce2ccd6f1d3,,50,52,1050052,1,1.0,0.0,1,0,0.0263157894736842,50,0.28,0.9,1,1,0,220,0,0,0.0,0.0,0
29009,20629,006305a3-68b3-4f3c-b826-4223d7e9135b,84,67,67,2019-10-24 14:28:46,,cfabffb482af40b7dd084c471f3cc61014ab795e68ede61cdb0eeee84b1de2a8392d9d8d75ec660f9c425df907f95ff61cd8762ab21c4f6daa35bce2ccd6f1d3,,67,84,1067084,1,1.0,0.0,1,0,0.0263157894736842,50,0.28,0.9,1,1,0,220,0,0,0.0,0.0,0
29008,20577,006305a3-68b3-4f3c-b826-4223d7e9135b,49,41,41,2019-10-24 14:28:42,,cfabffb482af40b7dd084c471f3cc61014ab795e68ede61cdb0eeee84b1de2a8392d9d8d75ec660f9c425df907f95ff61cd8762ab21c4f6daa35bce2ccd6f1d3,,41,49,1041049,1,1.0,0.0,1,0,0.0263157894736842,50,0.28,0.9,1,1,0,220,0,0,0.0,0.0,0
