Unnamed: 0,id,uuid,option_a,option_b,selected,datetime,score_x,ip_hash,score_async,option_a_sorted,option_b_sorted,card_id,latest,mean,std,registered,is_bot,transitivity,count,rate,score_y,unique_uuid,n_ips,score_pred,delta,prediction,predicted_prob,rate_bots_same_ip,mean_predicted_prob,mean_prediction
19700,17816,01a124d2-1dc8-4038-93e8-1a1a109e831f,48,90,48,2019-10-24 14:23:46,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,48,90,1048090,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19701,17841,01a124d2-1dc8-4038-93e8-1a1a109e831f,34,41,34,2019-10-24 14:23:50,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,34,41,1034041,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19702,17870,01a124d2-1dc8-4038-93e8-1a1a109e831f,31,30,30,2019-10-24 14:23:53,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,30,31,1030031,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19703,17900,01a124d2-1dc8-4038-93e8-1a1a109e831f,16,17,17,2019-10-24 14:23:56,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,16,17,1016017,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19704,17968,01a124d2-1dc8-4038-93e8-1a1a109e831f,55,52,55,2019-10-24 14:24:03,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,52,55,1052055,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19705,17990,01a124d2-1dc8-4038-93e8-1a1a109e831f,10,68,10,2019-10-24 14:24:06,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,10,68,1010068,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19706,18027,01a124d2-1dc8-4038-93e8-1a1a109e831f,69,65,69,2019-10-24 14:24:10,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,65,69,1065069,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19707,18090,01a124d2-1dc8-4038-93e8-1a1a109e831f,84,34,84,2019-10-24 14:24:16,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,34,84,1034084,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19708,18132,01a124d2-1dc8-4038-93e8-1a1a109e831f,49,85,85,2019-10-24 14:24:20,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,49,85,1049085,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19709,18200,01a124d2-1dc8-4038-93e8-1a1a109e831f,32,3,32,2019-10-24 14:24:28,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,3,32,1003032,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19710,18282,01a124d2-1dc8-4038-93e8-1a1a109e831f,49,78,78,2019-10-24 14:24:37,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,49,78,1049078,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19711,18306,01a124d2-1dc8-4038-93e8-1a1a109e831f,2,71,71,2019-10-24 14:24:40,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,2,71,1002071,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19712,18345,01a124d2-1dc8-4038-93e8-1a1a109e831f,43,77,77,2019-10-24 14:24:44,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,43,77,1043077,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19713,18375,01a124d2-1dc8-4038-93e8-1a1a109e831f,79,40,79,2019-10-24 14:24:48,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,40,79,1040079,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19715,18527,01a124d2-1dc8-4038-93e8-1a1a109e831f,25,68,25,2019-10-24 14:25:06,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,25,68,1025068,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19716,18604,01a124d2-1dc8-4038-93e8-1a1a109e831f,74,57,57,2019-10-24 14:25:15,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,57,74,1057074,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19664,15959,01a124d2-1dc8-4038-93e8-1a1a109e831f,32,4,32,2019-10-24 14:20:29,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,4,32,1004032,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19717,18682,01a124d2-1dc8-4038-93e8-1a1a109e831f,73,57,73,2019-10-24 14:25:25,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,57,73,1057073,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19694,17531,01a124d2-1dc8-4038-93e8-1a1a109e831f,28,80,28,2019-10-24 14:23:15,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,28,80,1028080,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
