id,uuid,ip_hash,sex,age,region,politica,datetime,score
22,d3f4e8fc-dfc4-4929-b64f-19b6a7603e35,5f94581c2097c05122d4b02383889e01e91013a63f38f6cc5748c8601d5e1addd1645e29f2ed1579f7504bce5c494cdab98959ab2d21560d93db358ed80f1dfb,Male,32,Akkar,5,2019-11-16 20:39:31.520695-03,
23,0b1f7f51-e374-4990-97a2-1ceab2641dbd,5f94581c2097c05122d4b02383889e01e91013a63f38f6cc5748c8601d5e1addd1645e29f2ed1579f7504bce5c494cdab98959ab2d21560d93db358ed80f1dfb,Male,41,Akkar,5,2019-11-16 20:41:49.027975-03,
24,698e18cb-a3e3-4cf6-837f-fb17cd1b3988,49f6696685b75e3cf31152638f1c3ceea7d61a0b10b0553f899c71c575d7fc4a0338f040d894dfae5aa2f687cd737778c7044604de78249156c7849ac2934d4d,Male,36,North Lebanon,5,2019-11-16 20:47:16.126935-03,
25,f7971c10-b97a-47d7-857e-a5e12e321e49,148ef9849479f941a595519db15b0a527274fbc21a1d356017d9d2db355e12271a071bd081fd9a53d14979189db78894cd3f2d154770071dacecf9c666507630,Male,27,Lebanese diaspora,5,2019-11-16 20:52:02.11042-03,
26,20da8b02-3511-4c08-b597-dcbbd9cb5bf2,242f8404c88e9a7cb038e4dc781a5ac6b1ec94045081901abc5a09f9fd9aed195fc53b15583f2ecdbe86af67e3a0e81c31bde1ed0b6941d181195f9e47eec1d8,Male,43,Beirut,5,2019-11-16 20:53:21.870862-03,
27,286356c0-a7aa-4304-a35c-9129b3a8c63b,fd8611a2f74e047af8d1386650af495dd544b4d07e368f2080fe0800c3cfa38cd884ea1f759ac7726819319fd2ceefa73a036c02527a86db553611f2e8c505c1,Male,37,Mount Lebanon,5,2019-11-16 20:57:26.729173-03,
28,094763d7-0e76-45f2-b163-7265ee7b2397,2c50501dc66e4ff8d1b770e54c5cb0447e10386f92b9b00cac7b6935496c940da308d1ffd6c3a550f6ac5f1b2ae65586d355a01ff2a20202359afd4e1da2ec9c,Male,27,Mount Lebanon,5,2019-11-16 21:02:13.146878-03,
29,1460b695-eb34-4e3b-b193-5d4cb63d0099,d44dcc6052ed3ceb1a464258689304744c43dade032031dbf0640d151df6f78c7394e52b22382cb8b7088bf831bb42d23bad3117c8da000aa9bdfd36d020cfdc,Male,30,Beirut,5,2019-11-16 21:27:16.121602-03,
30,4872ceb7-15cf-4aee-aefd-c65c38c231d2,b26281769c89e922998861f68774be6e3360acdb2f86e07ede678f4e11779d7a5020bba48852037e915a367adacdc7c88d2c4ca9fd8132aef8a95ad3187629c0,Male,22,Mount Lebanon,5,2019-11-16 22:46:39.36339-03,
31,27d0883d-af3f-438d-aee5-05f9178d78bc,2860f1dc6fad6a03a508c4d0208a6a3d5ed93b4abd3579a43081223a280217075c0492825dbf49bc68cd44f357a1bf7f4fd32d8e97f4e218f6694372fbc6aa58,Male,27,Beirut,5,2019-11-16 22:57:29.15812-03,
32,2b832097-50f3-4e39-b5d9-8cf60e9ba533,485bb34fdd3b7bdb3ebcaaacede65cd9747c379a86b8f4c7fcc5201b471b10452e2b2262613a51a2421349f766d6cc48c98317e499e55e581d2e995d0cb9ea7a,Male,33,Beirut,5,2019-11-16 23:35:39.933303-03,
35,f13b14c6-ed61-4359-9927-2689381673f3,b0d1eca9e2f7a15f67da4b0cff90c4a755d0f0f638b94eb19a4e7523b4aaf3bfd2a406c857528082ecee2198fc92173fdc760bab60a1e629e2ede1a13208fb17,Male,28,Mount Lebanon,5,2019-11-17 01:04:35.125406-03,
42,5b0a910d-34a4-4f3d-88ff-75c91f4e4bb0,069bce54572c7a15a367909a763abf8a4da497d5fad98fa21df8cb6f6b649640303ca559d5dd4949db51596524329db801c83a8b52939f548227e979290dc676,Female,32,Beirut,5,2019-11-17 02:25:20.259545-03,
33,1799d3ee-23fa-4ff4-ace5-73f55f952a24,bacb97e6fa22d87e7523604d92ed5c9bbc4447a987dfa9a8416b1d4f882ddcbe2f553b6088c12148e700a2fb3851646936c275ec638fc8fce92195723c9f3a39,Male,38,Lebanese diaspora,5,2019-11-17 00:02:26.339063-03,
36,48565830-ac4f-4d0d-903c-eab42e326fd7,267329c06b1cdcddce15f80b4a11e88dda1cd7dbea376504d39b93664094d4b6094c34f44b7f37aaf579c00ee9814201f743de39784749054dd1a25fc568afad,Female,42,Mount Lebanon,5,2019-11-17 01:28:26.838157-03,
44,c88f6227-e8c2-4a22-9eae-ffbb0e5f3164,4271590a63074b205594d3c8feced1890063ac1f0070efa9d679eec07c60fe2837198b73f6aed476e242a38c17d48e6baf35fe2fd4ca9634d5a8bc7d2d3a2dd0,Female,55,South Lebanon,5,2019-11-17 02:28:11.311346-03,
49,1cc28e4c-425b-4a53-9a6f-5fe717df0459,2239f54c3371fcf6bd4fdd97d5c48dca73a794a281c310b36d6b9991a28b25b5a15ea090b5cf170974535c3b4a0cb34ef4e2fa5b273ff36c6d9f307f20993cad,Female,57,Beirut,5,2019-11-17 03:08:02.592635-03,
34,2ef82f3e-12a2-4e98-bb09-cb622fe77467,e6062a0dd753f78b7db8330de63ce42f1650eb2e8611c835a85c25e0f13b5cfd924d9cb22ad4e66dfb5e0d704b232373a78abaee6b6b5e81ce06089bc6f633c5,Male,62,Mount Lebanon,5,2019-11-17 00:06:48.918714-03,
37,63c81860-7323-4e52-9852-e9d816c53ab1,6eb092ac8b93efbe652540aabde0b82e9d37ac7ba407a5133c40242776cf0ef40e73fbac9cb4dd1bb8307f4302973fbc4055d25408dead40a53e0754d2f55e73,Female,39,Mount Lebanon,5,2019-11-17 01:32:09.721871-03,
38,fc065ade-428c-4f97-a010-b5cbad358f52,c70e75bdf081d225c3806525bd5cef51dc58e25b4ec435c4752778d74f8a139d59db9c903519cf4b666724b0c01dff531bdb294e4130c15148cb0f78655677f8,Male,34,South Lebanon,5,2019-11-17 01:55:43.812608-03,
43,684991fd-8f9f-40d4-a681-3f0804a4af7b,2900aba3fb20efdd0aae27492d55fcd3094e1f37a71ed4908e6f4565c3cc846dac65054f222437d212ce3aa05d84e51ad55d33dc767ea3f93c195f7b4e2311df,Female,26,Beirut,5,2019-11-17 02:27:08.611804-03,
39,23d38cff-828b-4acc-b281-b4b0b7ec4ea8,e40800b3d301d3656e072ba7bba26a80f6ae836a695fe8c6c3c044fd9ecc3f62839d36cae885b4e662ce2c6572d91dade124992251630d452225b2f23f63f290,Female,31,Beirut,5,2019-11-17 02:03:14.841724-03,
40,859bebac-7c15-41c6-88d8-0c3850cda424,e3de48670b77688d2f22ece120b944ecdab57fca90905cfe8c6ef4233f30aab88b96ac660707f9410b38f4b8a4348a3e6e5203f43ff3b738f04dc1e4ae6ce5c5,Female,31,Beirut,5,2019-11-17 02:19:12.207157-03,
41,7b439df9-e424-4321-acdd-303b7e37bc1b,23371755e053494e96f16ff76e59eb539d6119ce3a192b09b6c9c892a66817dd91555dfb1ff730191324de07811923c29f180d34e617349563994dba6a87a277,Female,38,Beirut,5,2019-11-17 02:19:33.5139-03,
50,020c77cb-ba38-4157-83f7-e880678d2327,9372d3e9fd8e0a6c1642308dcd0c030d7d61005379b60188b1cc9e680035462b10038692ff4f6f9f371b70241f0733275bf5bb0e2b73d15bb01486ba01c22884,Female,59,Beirut,5,2019-11-17 03:32:44.81317-03,
45,83aa87f6-d002-4df6-abfd-bdaeaee3e1fc,9cb31b36448f5838f8aeb79e7c09b8c341ba48c877111ef3b22d7aca5ba2250a51979cce10745d3b6c5b36ac0c234c36840bbd31d215ab2637ed6e00205548f6,Female,39,Beirut,5,2019-11-17 02:28:29.174273-03,
46,cae75388-3aec-4029-8195-a2f777ccb033,fa8a715e89ca63a852dfa7168b089cf55faa3737ab44ec3c9da85612efdc63efb9c2e8615ccc5f96729070fcf1f9245167893a1843f786693edde9a062fbceaa,Male,38,Akkar,5,2019-11-17 02:48:52.099743-03,
48,0ea693c6-cd7f-430b-81c6-77847b302076,b49bacf7b0064681632c4ab0783337cab6750de2dd336748caa238e8dd0e277193d309130a09de5769ba88286e8a21f2ab0c31b92f652d4cf21febde52dbcf33,Female,31,Beirut,5,2019-11-17 02:58:28.065704-03,
51,0c832636-9b2a-4539-8efb-3e06e82a18d0,8fce84dcfe6327e1fe4642b32dcf3dc148c77db74c4202e3d5b6a0a7ee0be79468daaecbfa03b0e0dba760beae37dc40fbd7ff27cf102e2eed7ef7bc352800e8,Male,70,Mount Lebanon,5,2019-11-17 03:49:54.550741-03,
47,93cfb42c-3ecc-4808-b2c4-727f50a35b72,58ea57e8e04ca8223afeefa0ca5ac84b80a8d9cfdfaba615950b6838cddf237b0b3e141627c82be92fe54f576ba16c328ac0792904a7f9c37afe9c56c4f03472,Male,36,Mount Lebanon,5,2019-11-17 02:53:35.623521-03,
52,4dcf3766-b448-454f-a4ce-39b2024e1ed9,ff4c725a015213b7aaedac12d2f918c74f8474c19e5600eb614b606466c6fbacc0eec26ba31cbf19e1e41eb951b4164436dcdbb0a427b6dee55d22282fd8dfd5,Male,31,Beirut,5,2019-11-17 03:51:10.629592-03,
53,925778ee-3449-49d8-ad5e-b233aa647dff,ff47ab7785a0924ca7ad7c906ff598683e60d626e8e0b3bd5918eb51b2442a99712a7e4220cc17c9a194ec1183f5494834d0f41119583ca3fd60a098b02c0880,Female,58,Beirut,5,2019-11-17 04:09:51.57703-03,
54,f8cc76ac-55b1-4e94-b030-d0893cc921b5,ca999d552958d7f8752de4c73a547709b45810fc3c9d6e16cc11cab7b815f3134518501560c6bacfb75d57a9eb73f715f9b1cafca60b53c0907bc618ff66499b,Male,55,Mount Lebanon,5,2019-11-17 04:13:22.755099-03,
55,5c8883d5-be02-4c1e-9b11-6db68dcc0607,20b861c5f95e2877a3989e6fd69eeae27ee8e4973134bf2c9057a4d40bc8b284baf4fecd04949ef18ce51d936c3e094dc959ec9bf5edcf7fe64d2be620e19f47,Female,30,Mount Lebanon,5,2019-11-17 04:24:03.496814-03,
56,96bc01ca-d883-4942-8c29-947b13aa597a,04dbd105c4335b0d96cabe7d4e48f74239e9c622ae7425e5559ad9d20b05cd6ee1208a9044684be2be905b94cf2758fafad37c6babb20eb166a959da6d612bf9,Female,32,North Lebanon,5,2019-11-17 04:26:22.35218-03,
57,85bb0c61-72fa-4090-a0f6-2d82e8965e12,e5ae11ddb12c520498202fc9dff0558cae6a2d6463fb692bf852a8e48b489047e712d704c8701dc06755746f13ea950ec88b8bac5eb59c8b98a980dc613067e0,Male,30,Mount Lebanon,5,2019-11-17 04:28:38.282261-03,
