id,uuid,ip_hash,sex,age,region,politica,datetime,score,zone
684,8496bf99-5ffe-4548-87ae-1fcc0402ae4f,bc6db64856058e21dd462ced265c3cce8e1b85faabe2a62daa990cc8904f36fb6d143ce25c7574b703d818e20bce1f29a41b6bd9883324d21b9fee2ebcb318c5,Femenino,22,Bogotá D.C.,4,2019-12-19 04:35:31.450344-05,,Ciudad
685,567e842d-dc58-4c9d-b3b3-52d760c374d2,6f467c4197e107f6338be0cb4092d5bc5f4d742fd3143a006d90f0f2dea3cc6b8aa5a3ef2430ec5c031c672afa3c39f908fd39751c555a96c45551f0b59f989b,Masculino,41,Bogotá D.C.,5,2019-12-19 04:48:21.659415-05,,Ciudad
686,a9d3dcdb-8665-41bf-a2a4-686ae1a415af,9b0a5c9edc27e96c7571281b85dfdb86afecd4e844bfd4aedc5af6625e6963e425959d2b371b25ffd4a6eb2e79c7c900b6190a6557f25d6675b51e80ba26f404,Masculino,42,Tolima,4,2019-12-19 05:18:50.390296-05,,Ciudad
692,7a37c275-b7a7-45ff-9396-c8bcc73fc495,28cfa0370f6456b84f75344cf4186c228dfbdba25bfaefeb455e0dc3b7075ab6c8a93107afe677c0dea1d2b6944ed31caa1bae07cf2b71a787ba5eff0e8eb59e,Masculino,52,Boyacá,10,2019-12-19 06:27:05.691431-05,,Ciudad
693,d25b9c60-d013-4733-842b-4ea2ac148ac7,dd7e1fafcc8281c1c68b00f91f1f7d27906c23c076abebe67b4f703fd599f4f93669a6cd61f7159ef66dbf1d89b598607e09a2a0fe3ad868620e4e5754da4919,Femenino,34,Boyacá,5,2019-12-19 06:39:19.266291-05,,Centro Urbano
695,fa797ced-e4e9-4990-8de8-c7403ea1df2b,7bce121e144d630c621bb0e220eec40352fe6b97cb8f022a0ccd24882d112015e62446cf63c85764ad20d7ce767f198ee3da711efc9fc20e2e0e80995125446a,Femenino,34,Bogotá D.C.,1,2019-12-19 06:53:49.444757-05,,Centro Urbano
696,6faf1f35-f23f-4f8c-a9b0-89451e1883ab,c511c508143d5c8d24743d3f7689146c6fe8762214e9957a62c0b64b2311ca9adc74348467490172f2c80c0d4ce35433dbe9df595c71981a786ccc7851fafe83,Masculino,26,Bogotá D.C.,5,2019-12-19 06:53:50.184338-05,,Ciudad
697,11619d63-8106-48de-803b-9993f7a43ba1,b5f55407bcf0146753f2a24ffddf97653f6a504493929b9c617209a235108681868266de05a9c4938bd36bf31bfb4ba312bfa2ad08c12141bb4d6605c0056a5c,Femenino,34,Bogotá D.C.,5,2019-12-19 07:00:48.733286-05,,Ciudad
698,51b4d3a4-df45-415f-a919-a01ba5d5da2e,ba0d54765c36836a8538a28156739083ebcd31286b57e81da3d6b68dede5b638bfb31e9831eb96f00694f1f88cd04111d75a2517fa659947eb74e0da2b82b61f,Masculino,24,Antioquia,7,2019-12-19 07:03:09.696673-05,,Ciudad
699,b7cf0b03-0814-47e0-a478-0615d197be02,d4271fe3a7e15bcd267027d6aebe554008c8b526a11e3dc45beb3b60a0588d9c13fbf7ea605e29fe0bec8a0debc896c0a416e26154c4bd861245365a36afd09f,Femenino,57,Bogotá D.C.,5,2019-12-19 07:06:32.939271-05,,Ciudad
700,43301b21-08f6-4f9d-989b-0d5226919296,7bfb5a8dcb12b6c7791f635ad8eabfee9dc94afdcc4c6444fa73f73e5df16501a43a54e0f2bff7e1f1ca7ef6ecba59a8bb31ece9f8ff17e2df06588165690404,Masculino,44,Atlántico,6,2019-12-19 07:12:49.612254-05,,Ciudad
701,fe21cf88-9fe8-46b7-addd-9b4ba25a29de,002e7d050a2945fb245d4cfe9d27d04a359e93c4ca6c03984558cf7a4455f9f020fbe31bbc58318e5dcbcf0b966d08470626bdc276bc7173ea3f4cb8708ccf4f,Masculino,34,Fuera de Colombia,3,2019-12-19 07:18:43.636344-05,,---
702,7e93f893-f0b9-47ad-99b2-6f623c101c72,3284d5c9e10223a7d177aac57db7b3599105a3dd6fc7e0896e0e9649253c25bf20344cf2f57a2997507f947fdfbfcbad27e6c0e77e6aadc6b5152bc3915f52ce,Masculino,34,Atlántico,1,2019-12-19 07:28:33.770443-05,,Ciudad
703,1b228283-5b3b-4eb3-be87-87108c69863a,5aa918dab9f901d280f7687dc8dbec1282a644ae21b3641843e41e3a50dee1b7fc227aae872ea14eae3a6458d8bbadbbda421633a8a1e3b7091a6fff3ad55b70,Masculino,41,Fuera de Colombia,5,2019-12-19 07:38:25.497784-05,,---
704,00c6a56b-2ff6-4127-8d78-73927505c070,88c5376710dde32f03a93e9058b244b35ed88e7dbcc9dee66468fc761fdec842bc40050b1e4d61daf40f9b59b1cd4f0ee9709057ca0021ee694b4e12f4a53db4,Femenino,37,Boyacá,5,2019-12-19 07:39:23.380631-05,,Ciudad
705,8494e344-7068-4483-9918-2ffedbec1fd9,2db9d9767224608f81280e34ac039a317ca2a657f24e6b2e0a8768583c5344be1e59666026211b1d2fc22425d61e2d76fdafa26e06c08572df06033ac83b2905,Masculino,44,Bolívar,5,2019-12-19 07:42:24.039593-05,,Ciudad
706,9163bc8d-5968-47f9-b14b-3f2c0d6416d2,cd4ab86c11252e908fa612ea227fc36a7b07f7acd902f3ab41cfa47d6545b888932ea46455b00887f622022cfaf2c303f12673da227ebece627f525d99b13ac7,Masculino,45,Bogotá D.C.,5,2019-12-19 08:03:08.111637-05,,Centro Urbano
707,5d5d7e07-37a4-466c-8fbb-99165e9d79e0,b2b9e73464ea6aed8e3e09831bed44b9728f5b8e55177af96876ebd072bbbb1185ff95322d48d0d0cb2b3a1dc63a19b6573f8da0d0bf0dd27a3450da86dcd591,Femenino,33,Fuera de Colombia,2,2019-12-19 08:18:14.675713-05,,---
708,5cfba1fd-fec9-4344-8f09-b26ccca48448,841c8ec7db633f2a13dcccfe001fd51cbb070eac1287f14132098e76392ebb9f6157ae2448c11e690cb09457011e64f0fefe31a6b8398a137aa30fe93c2c6330,Femenino,60,Bogotá D.C.,9,2019-12-19 08:31:43.345962-05,,Ciudad
709,652e54e5-f112-4747-b537-2cc013885622,aecf7da2ec4f9098c73f402a7eea9fbde660a2a05f83dca4bde50e84790076a428eb5c402e35954b4b542b5a7ea4d973d711030d250e874cc56931276174672a,Masculino,34,Atlántico,3,2019-12-19 08:31:44.326287-05,,Ciudad
710,5cfba1fd-fec9-4344-8f09-b26ccca48448,841c8ec7db633f2a13dcccfe001fd51cbb070eac1287f14132098e76392ebb9f6157ae2448c11e690cb09457011e64f0fefe31a6b8398a137aa30fe93c2c6330,Femenino,60,Bogotá D.C.,2,2019-12-19 08:32:05.53644-05,,Ciudad
711,131173cf-cb79-48eb-b9fd-e73653a70008,d0b8aafd49e0baf33ca980a5250f34d50c97b37a732cf104090b3ee71d2c2ea854286b03178941be3cd20cde9cbc523bd1b41071695066855bb572cbd78a715a,Masculino,66,Valle del Cauca,1,2019-12-19 08:43:00.934198-05,,Ciudad
712,ee0223f7-93c0-42b5-83f8-bab6bd6f433b,3129d9fb0039015b5b37c82d59c3d3c72a093245e7c593d0a11e56be758f6691fa3aa09d4335468eaec20c1ed8146ee38851dc422e38ca620919a6892651a586,Masculino,23,Bogotá D.C.,5,2019-12-19 08:49:09.490749-05,,Ciudad
713,cda773ef-729c-4003-ae80-b65f6d59f3d4,126b12b0a696cf5ca56555f6eb83e43fba4fed8585df41d1c515d5c0529061a21cc1eab71d504041f3c4cd4fda33af4825f28bd4a22b8384d8463f785311eb79,Femenino,30,Bogotá D.C.,4,2019-12-19 08:51:25.616929-05,,Ciudad
714,98ac712c-ed05-4a9a-8b25-3ecaad252448,dbc2b598b51a6fff950b76d028ebb890082b659d07f44cfd8fbca54fc6fcb85b95e65a6ca7cb8be928f48b0728389d384bc339745930a8c5eadf001c8dc9c3d9,Femenino,47,Magdalena,5,2019-12-19 09:11:27.406614-05,,Ciudad
715,b583a3f6-fdfe-4139-af5f-5c0425d2b22b,478eb83a206bac0fa7b33876bc2d177ae416e3cc05566696da6a6d25305eb120d520084b7b3a36fc133505ea4d511fe937fe8f998440d1556cecd255108d81bd,Femenino,31,Bogotá D.C.,2,2019-12-19 09:17:22.760988-05,,Ciudad
716,e0d6ba16-0ec8-4ea1-bc6a-a25c66fc4b62,66cffcfea58e55dde725b1f345f0f807efd8fae67d02c8bb473582cc29b6dba88b9199c38cb7455074de2b41e05fe35c62e16862fd7e998f27bd44ef7854ecea,Masculino,42,Bogotá D.C.,5,2019-12-19 09:17:32.302711-05,,Ciudad
717,e0d6ba16-0ec8-4ea1-bc6a-a25c66fc4b62,66cffcfea58e55dde725b1f345f0f807efd8fae67d02c8bb473582cc29b6dba88b9199c38cb7455074de2b41e05fe35c62e16862fd7e998f27bd44ef7854ecea,Masculino,42,Bogotá D.C.,5,2019-12-19 09:17:32.335739-05,,Ciudad
718,418bd390-8b1e-43ae-92ec-acaa3020acac,e4037e579fee091421db7c51a058f5bde3029b07fa6732ab2f1bfd78d226c9373239214061351390e40c801e6222a6c704252e84edd4a3c9cf549f5cf14a98ff,Masculino,29,Bogotá D.C.,3,2019-12-19 09:17:34.383676-05,,Ciudad
719,983f59de-f83c-417a-8f13-1652ed7f35e5,cbc6804800bbbd6991f9e27188c40565964dacf0becd05d8391720c01fcb8dd0565ccb43b42f73413f5014790c43820398de8010dab8244f1e1696b4447e5ce0,Masculino,20,Bogotá D.C.,3,2019-12-19 09:18:56.123479-05,,Ciudad
720,d72b3111-6e4d-4ff1-bb34-c648a2f0ffd7,8122c8835bad160cf331741d570d44baa137598d25c650fb7a6f52a7a94f46563025b9e458b1e45882ff09cbda372dea8bf616f912ccfe0bd00ab548dbda1465,Femenino,25,Bogotá D.C.,4,2019-12-19 09:40:03.415862-05,,Ciudad
721,23ea59dd-a4c4-4dbf-ad71-c66106c5116d,c86bc2470bd88082672edda424386734c3e82ce0f663972d234681ef33ea50839270072d0d85bb8fa3024def1bd292bf0860d47e059a74d450659f98c1e01045,Masculino,24,Bogotá D.C.,4,2019-12-19 10:04:24.212547-05,,Ciudad
733,c7ff8b4b-bfc4-4c80-82b6-2533dacfc287,4a15a0377d14f56bb3d6e730ed94a7b06d1d6072147d6e34ff5fc2cf228a50ed0467e520d344dfd2ca2894f3a6a92a641b21f793d53b06b9cb2f2d366971f734,Masculino,54,Bogotá D.C.,5,2019-12-19 13:04:14.891517-05,,Ciudad
