id,uuid,sex,age,region,politica,datetime,score,ip_hash,z1,z2
20,85945e66-b43e-4872-a287-1f3f017a1c8c,Masculino,24,Biobío,5,2019-10-24 11:59:38.440349-03,,,0.47542137,0.4320549
21,a6b5cf66-12c2-4045-afe5-6e0244323228,Masculino,38,Metropolitana de Santiago,5,2019-10-24 11:59:43.164971-03,,,0.44632497,0.49545902
22,40286aed-57b5-45c8-84c2-9ae0679ed529,Masculino,38,Metropolitana de Santiago,9,2019-10-24 11:59:48.21519-03,,,0.50160956,0.6085049
23,5faea5d4-6a36-4095-b7c6-639b30f8b1fa,Femenino,32,Coquimbo,5,2019-10-24 11:59:48.747635-03,,,0.47919416,0.5058534
24,f47c433f-13e4-4b1b-bf51-e4bd4444fa30,Femenino,35,Metropolitana de Santiago,7,2019-10-24 11:59:50.724358-03,,,0.52020395,0.63136303
25,62ebf0dc-d87c-4994-b0db-293cfd03d2e8,Femenino,24,Metropolitana de Santiago,3,2019-10-24 11:59:51.491087-03,,,0.4744849,0.49686718
26,9362b218-f50a-45dd-8bd9-d95f2fed9645,Masculino,30,Metropolitana de Santiago,3,2019-10-24 11:59:54.400634-03,,,0.48418984,0.46228087
27,79c13dc4-efff-4acf-acc8-cc674bf0b5f5,Masculino,29,Metropolitana de Santiago,1,2019-10-24 11:59:59.524308-03,,,0.4600535,0.46449658
28,e7ece3b9-4f0d-4ac4-9737-952cce26fc77,Masculino,38,Metropolitana de Santiago,5,2019-10-24 12:00:09.540575-03,,,0.50086427,0.5222621
29,1ca4cf5c-14d4-453d-8ff1-2cc20cbfe2fd,Masculino,33,Metropolitana de Santiago,4,2019-10-24 12:00:22.176645-03,,,0.56234187,0.51817644
30,6e36db91-7e91-4c67-b105-31091ad9b05c,Masculino,33,Metropolitana de Santiago,5,2019-10-24 12:00:22.230221-03,,,0.4803701,0.41390085
31,6e36db91-7e91-4c67-b105-31091ad9b05c,Masculino,33,Metropolitana de Santiago,5,2019-10-24 12:00:22.33901-03,,,0.4803701,0.41390085
32,6775f361-f57a-4bf2-b325-93358fcaeb0f,Masculino,24,Metropolitana de Santiago,6,2019-10-24 12:00:31.251785-03,,,0.54425716,0.6094274
33,2a6f58e5-5a6b-4a68-a775-5bbf82f51777,Masculino,31,Metropolitana de Santiago,5,2019-10-24 12:00:34.398634-03,,,0.54140216,0.41539726
34,fc2ee481-71d9-419c-a4c5-b809d94d5390,Masculino,32,Fuera de Chile,0,2019-10-24 12:00:38.154072-03,,,0.46719676,0.42993385
35,7d1b56a9-f3fa-470d-a68f-e02c1b715872,Masculino,41,Metropolitana de Santiago,2,2019-10-24 12:00:42.205575-03,,,0.5311209,0.39705604
36,f2138c7e-e801-4b97-b3ec-f19d61f8715e,Masculino,32,Metropolitana de Santiago,2,2019-10-24 12:01:35.18868-03,,,0.57268006,0.5356845
37,6da8e694-e5a5-4422-a534-3a93ecbfcb6d,Masculino,30,Los Lagos,6,2019-10-24 12:01:37.935383-03,,,0.4694487,0.5201982
51,6da8e694-e5a5-4422-a534-3a93ecbfcb6d,Masculino,30,Los Lagos,6,2019-10-24 12:04:07.063637-03,,,0.4694487,0.5201982
54,6da8e694-e5a5-4422-a534-3a93ecbfcb6d,Masculino,30,Los Lagos,6,2019-10-24 12:04:09.478919-03,,,0.4694487,0.5201982
38,fab5c765-2b84-4a73-b9ab-342b8db0bb04,Masculino,38,Metropolitana de Santiago,2,2019-10-24 12:01:47.483095-03,,,0.42254105,0.46867725
39,2d39ea7f-6bb9-4e3f-b561-866dfef01722,Femenino,49,Biobío,3,2019-10-24 12:02:02.319914-03,,,0.4835849,0.45333907
40,3dfc0219-2214-4bc9-9214-1fe7ae678709,Masculino,22,Biobío,5,2019-10-24 12:02:03.211163-03,,,0.4548907,0.444559
41,8aab2516-6a9a-4db1-91b3-916416cc132d,Femenino,38,Metropolitana de Santiago,3,2019-10-24 12:02:04.365444-03,,,0.5090635,0.5053967
42,f7f73c53-2630-4457-b1ae-2966305a0859,Masculino,41,Biobío,4,2019-10-24 12:02:07.640403-03,,,0.4606709,0.4923647
43,f817727e-71a0-4411-9c57-f5711b9fc23d,Masculino,35,Metropolitana de Santiago,5,2019-10-24 12:02:13.075306-03,,,0.46262342,0.55201286
44,366f6cef-85fb-4ed7-a889-3842bf91e4f8,Masculino,38,Metropolitana de Santiago,3,2019-10-24 12:02:38.08952-03,,,0.50042444,0.4964287
45,6d24f7d6-0609-4441-8834-4f4bf15447cc,Masculino,28,Metropolitana de Santiago,3,2019-10-24 12:03:10.817451-03,,,0.50798124,0.5060571
46,78153bd6-2c09-468e-89df-8684f1aea225,Masculino,36,Metropolitana de Santiago,8,2019-10-24 12:03:22.201857-03,,,0.47650173,0.5662359
47,f610be3d-c861-43db-88e0-24bb955c7aa8,Masculino,29,Metropolitana de Santiago,7,2019-10-24 12:03:29.138916-03,,,0.5583134,0.58212256
48,23ddba35-86e1-4544-9989-7161e4ec2ae9,Masculino,32,Biobío,10,2019-10-24 12:03:44.207852-03,,,0.47311318,0.49327493
49,5f05a829-bda6-47e0-b174-a341f26d0737,Masculino,28,Metropolitana de Santiago,6,2019-10-24 12:03:56.569961-03,,,0.55836207,0.47942317
50,52f48d86-4c8d-44e1-832f-514c0ed9a08c,Femenino,28,Biobío,4,2019-10-24 12:04:06.723975-03,,,0.5112825,0.48112583
52,52f48d86-4c8d-44e1-832f-514c0ed9a08c,Femenino,28,Biobío,4,2019-10-24 12:04:07.857592-03,,,0.5112825,0.48112583
53,52f48d86-4c8d-44e1-832f-514c0ed9a08c,Femenino,28,Biobío,4,2019-10-24 12:04:09.46301-03,,,0.5112825,0.48112583
55,8579ed5b-7038-4f71-81f1-d6b0c51ed45d,Masculino,29,Metropolitana de Santiago,0,2019-10-24 12:04:17.137644-03,,,0.50647485,0.44553125
56,ad85e690-82be-41a8-a8c7-f969402f3e32,Femenino,30,Coquimbo,4,2019-10-24 12:04:31.913773-03,,,0.54911804,0.46433792
57,3e4482a1-1eb9-4def-9e96-3b149c3c281d,Masculino,29,Metropolitana de Santiago,3,2019-10-24 12:04:41.745611-03,,,0.4461168,0.5567101
58,3e4482a1-1eb9-4def-9e96-3b149c3c281d,Masculino,29,Metropolitana de Santiago,3,2019-10-24 12:04:43.33388-03,,,0.4461168,0.5567101
59,3e4482a1-1eb9-4def-9e96-3b149c3c281d,Masculino,29,Metropolitana de Santiago,3,2019-10-24 12:04:44.455672-03,,,0.4461168,0.5567101
60,f96f087d-862a-4461-8f80-d78eaf7cc68b,Masculino,26,Biobío,3,2019-10-24 12:05:06.293097-03,,,0.44717705,0.4961162
62,f96f087d-862a-4461-8f80-d78eaf7cc68b,Masculino,26,Biobío,3,2019-10-24 12:05:09.411789-03,,,0.44717705,0.4961162
61,b2bc5e8a-1fe9-4ea4-b1f2-42b117e81fb5,Femenino,27,O'Higgins,4,2019-10-24 12:05:07.021616-03,,,0.5290487,0.41355732
63,3ff55dcd-98ea-44cd-a271-b16b9aad7543,Femenino,32,Biobío,5,2019-10-24 12:05:12.87403-03,,,0.45013812,0.4654148
64,3ff55dcd-98ea-44cd-a271-b16b9aad7543,Femenino,32,Biobío,5,2019-10-24 12:05:14.59765-03,,,0.45013812,0.4654148
158,3ff55dcd-98ea-44cd-a271-b16b9aad7543,Femenino,32,Biobío,5,2019-10-24 12:26:16.206098-03,,,0.45013812,0.4654148
160,3ff55dcd-98ea-44cd-a271-b16b9aad7543,Femenino,32,Biobío,5,2019-10-24 12:26:27.979073-03,,,0.45013812,0.4654148
66,6783f97c-c1e6-4c7b-9e30-e465b00fcc9c,Masculino,36,Metropolitana de Santiago,5,2019-10-24 12:05:39.89356-03,,,0.5142589,0.5722408
67,6783f97c-c1e6-4c7b-9e30-e465b00fcc9c,Masculino,36,Metropolitana de Santiago,5,2019-10-24 12:05:43.105586-03,,,0.5142589,0.5722408
126,6783f97c-c1e6-4c7b-9e30-e465b00fcc9c,Masculino,36,Metropolitana de Santiago,5,2019-10-24 12:24:02.811561-03,,,0.5142589,0.5722408
68,b5e78763-03ce-4d78-9137-942bcb4b5379,Masculino,43,Metropolitana de Santiago,2,2019-10-24 12:05:45.77762-03,,,0.5975169,0.5161953
69,161b47ab-69fe-4682-a92e-cbea6bf98329,Femenino,41,Metropolitana de Santiago,3,2019-10-24 12:05:52.742391-03,,,0.5841787,0.4462345
72,129caebe-3e0c-48fe-a52b-ec2cd60e2533,Masculino,46,Metropolitana de Santiago,3,2019-10-24 12:06:20.569568-03,,,0.65474874,0.4687471
74,e77ee27e-319c-4f28-8f8f-e11aed27c3c9,Femenino,42,Metropolitana de Santiago,3,2019-10-24 12:06:21.074304-03,,,0.60546035,0.49864566
75,e77ee27e-319c-4f28-8f8f-e11aed27c3c9,Femenino,42,Metropolitana de Santiago,3,2019-10-24 12:06:23.104299-03,,,0.60546035,0.49864566
77,647dfd7e-bd53-4007-b487-5e9f67a25362,Femenino,29,Valparaíso,2,2019-10-24 12:06:23.542364-03,,,0.45818532,0.45373505
78,86aa8263-520a-4a99-ab97-cefb8121c39f,Masculino,29,Metropolitana de Santiago,3,2019-10-24 12:06:42.499639-03,,,0.51989377,0.45563415
79,86aa8263-520a-4a99-ab97-cefb8121c39f,Masculino,29,Metropolitana de Santiago,3,2019-10-24 12:06:47.088818-03,,,0.51989377,0.45563415
80,86aa8263-520a-4a99-ab97-cefb8121c39f,Masculino,29,Metropolitana de Santiago,3,2019-10-24 12:06:52.30104-03,,,0.51989377,0.45563415
81,7f0d0ba0-ee9d-4416-9a13-f3211a99ffb3,Masculino,30,Metropolitana de Santiago,5,2019-10-24 12:06:54.417572-03,,,0.472748,0.42629832
82,f8109a69-2430-44fb-b84a-eb7814ade4d3,Femenino,49,Metropolitana de Santiago,2,2019-10-24 12:07:24.437906-03,,,0.5182855,0.45012254
83,f8109a69-2430-44fb-b84a-eb7814ade4d3,Femenino,49,Metropolitana de Santiago,2,2019-10-24 12:07:28.661668-03,,,0.5182855,0.45012254
87,1d6ca286-e6b5-4319-a74c-6dfc7e1a9ebd,Masculino,33,Metropolitana de Santiago,1,2019-10-24 12:07:47.213997-03,,,0.4117878,0.36562887
88,1d6ca286-e6b5-4319-a74c-6dfc7e1a9ebd,Masculino,33,Metropolitana de Santiago,1,2019-10-24 12:07:50.953994-03,,,0.4117878,0.36562887
89,1d6ca286-e6b5-4319-a74c-6dfc7e1a9ebd,Masculino,33,Metropolitana de Santiago,1,2019-10-24 12:07:53.214218-03,,,0.4117878,0.36562887
90,021ecc96-5d57-4643-a8e6-4f38aebad842,Femenino,38,Metropolitana de Santiago,1,2019-10-24 12:08:34.713807-03,,,0.5309588,0.4705341
91,021ecc96-5d57-4643-a8e6-4f38aebad842,Femenino,38,Metropolitana de Santiago,1,2019-10-24 12:08:37.464779-03,,,0.5309588,0.4705341
92,021ecc96-5d57-4643-a8e6-4f38aebad842,Femenino,38,Metropolitana de Santiago,1,2019-10-24 12:08:41.255193-03,,,0.5309588,0.4705341
93,cc1274c2-250c-45c9-8c6f-756743fd709f,Femenino,26,Metropolitana de Santiago,8,2019-10-24 12:09:13.061138-03,,,0.56565076,0.6566582
94,cc1274c2-250c-45c9-8c6f-756743fd709f,Femenino,26,Metropolitana de Santiago,8,2019-10-24 12:09:19.100551-03,,,0.56565076,0.6566582
95,cc1274c2-250c-45c9-8c6f-756743fd709f,Femenino,26,Metropolitana de Santiago,8,2019-10-24 12:09:19.451619-03,,,0.56565076,0.6566582
240,cc1274c2-250c-45c9-8c6f-756743fd709f,Femenino,26,Metropolitana de Santiago,8,2019-10-24 12:38:46.794486-03,,,0.56565076,0.6566582
