id,uuid,sex,age,region,politica,datetime,score,ip_hash,z1,z2
2,8bd42737-b140-4db8-af4c-59839922129a,Masculino,27,Biobío,2,2019-10-24 11:54:19.158423-03,,,0.3777304,0.4987305
3,06656cd5-a184-4f21-b947-2b82f83625f6,Femenino,27,Biobío,5,2019-10-24 11:55:47.273066-03,,,0.54413116,0.45177978
4,3c573e0f-8f24-4202-8602-b9de2a53da73,Femenino,39,Valparaíso,5,2019-10-24 11:56:40.908787-03,,,0.510419,0.5225095
5,7d2e034a-3270-4429-aeac-418c46bf0d7d,Masculino,43,Metropolitana de Santiago,6,2019-10-24 11:56:42.384385-03,,,0.5520555,0.5263163
6,c1b97bb6-03d2-4027-8d54-0dd64a927a6c,Femenino,39,Metropolitana de Santiago,3,2019-10-24 11:56:57.166247-03,,,0.4319993,0.55910206
8,bed4ab9f-1e4c-4cfd-b48d-19be0288703b,Masculino,25,Los Ríos,5,2019-10-24 11:57:00.271063-03,,,0.5434581,0.47453976
9,883528e9-0599-4d30-9f4c-1daf9cf74082,Masculino,34,Metropolitana de Santiago,6,2019-10-24 11:57:17.627222-03,,,0.4934736,0.44826064
10,72e8f9c0-db3d-4e81-b13a-4c0aa9f73b07,Masculino,32,Metropolitana de Santiago,5,2019-10-24 11:57:19.572804-03,,,0.51596457,0.47555354
11,7fd1210c-b1c0-4bdf-b190-7bfa10fe51d2,Masculino,41,Fuera de Chile,2,2019-10-24 11:57:47.097574-03,,,0.5033116,0.47733667
12,54663bd7-eb35-492f-8a87-780d4d588f31,Masculino,50,Biobío,5,2019-10-24 11:58:05.63966-03,,,0.3961737,0.49791703
13,de2c0d17-bddb-468b-be3a-2b8768d19021,Masculino,32,Valparaíso,5,2019-10-24 11:58:24.948347-03,,,0.4479434,0.53264606
14,a75c630f-f34d-49c1-9c3d-f80be57fac18,Femenino,32,Metropolitana de Santiago,5,2019-10-24 11:58:38.999697-03,,,0.5240064,0.51652974
15,a6cf9d29-f7e3-4256-8d5c-d4ef679e2a77,Femenino,37,Metropolitana de Santiago,0,2019-10-24 11:58:42.035951-03,,,0.41057208,0.41052344
16,780cd182-294d-4758-ad9e-d38783807dc4,Masculino,33,Metropolitana de Santiago,6,2019-10-24 11:59:07.487991-03,,,0.5150261,0.5497426
17,2303db04-e52b-4308-a7f3-6af4f656f27a,Masculino,27,Metropolitana de Santiago,2,2019-10-24 11:59:29.598672-03,,,0.4765214,0.43775618
18,4bc509b3-c36c-4629-b987-35694cbf5e7c,Masculino,30,Metropolitana de Santiago,7,2019-10-24 11:59:34.998867-03,,,0.47332394,0.606942
19,4bc509b3-c36c-4629-b987-35694cbf5e7c,Masculino,30,Metropolitana de Santiago,7,2019-10-24 11:59:35.323535-03,,,0.47332394,0.606942
20,85945e66-b43e-4872-a287-1f3f017a1c8c,Masculino,24,Biobío,5,2019-10-24 11:59:38.440349-03,,,0.4765259,0.42848474
21,a6b5cf66-12c2-4045-afe5-6e0244323228,Masculino,38,Metropolitana de Santiago,5,2019-10-24 11:59:43.164971-03,,,0.44745618,0.49992946
22,40286aed-57b5-45c8-84c2-9ae0679ed529,Masculino,38,Metropolitana de Santiago,9,2019-10-24 11:59:48.21519-03,,,0.50137776,0.57118636
23,5faea5d4-6a36-4095-b7c6-639b30f8b1fa,Femenino,32,Coquimbo,5,2019-10-24 11:59:48.747635-03,,,0.49436265,0.48801407
24,f47c433f-13e4-4b1b-bf51-e4bd4444fa30,Femenino,35,Metropolitana de Santiago,7,2019-10-24 11:59:50.724358-03,,,0.52279794,0.6066888
25,62ebf0dc-d87c-4994-b0db-293cfd03d2e8,Femenino,24,Metropolitana de Santiago,3,2019-10-24 11:59:51.491087-03,,,0.4710447,0.50404817
26,9362b218-f50a-45dd-8bd9-d95f2fed9645,Masculino,30,Metropolitana de Santiago,3,2019-10-24 11:59:54.400634-03,,,0.4981395,0.45993188
27,79c13dc4-efff-4acf-acc8-cc674bf0b5f5,Masculino,29,Metropolitana de Santiago,1,2019-10-24 11:59:59.524308-03,,,0.47089487,0.4755818
28,e7ece3b9-4f0d-4ac4-9737-952cce26fc77,Masculino,38,Metropolitana de Santiago,5,2019-10-24 12:00:09.540575-03,,,0.50288427,0.51713467
29,1ca4cf5c-14d4-453d-8ff1-2cc20cbfe2fd,Masculino,33,Metropolitana de Santiago,4,2019-10-24 12:00:22.176645-03,,,0.5556447,0.51778305
30,6e36db91-7e91-4c67-b105-31091ad9b05c,Masculino,33,Metropolitana de Santiago,5,2019-10-24 12:00:22.230221-03,,,0.4835436,0.42446235
31,6e36db91-7e91-4c67-b105-31091ad9b05c,Masculino,33,Metropolitana de Santiago,5,2019-10-24 12:00:22.33901-03,,,0.4835436,0.42446235
