id,uuid,sex,age,region,politica,datetime,score,ip_hash,z1,z2
165,ac8d6c35-d352-4bc9-afc6-5ba1ae3e49a2,Femenino,-54,Valparaíso,5,2019-10-24 12:27:18.080995-03,,,0.50239354,0.50280035
166,301a5459-2398-4c94-ba7a-0d4ed5b1c152,Masculino,25,Metropolitana de Santiago,4,2019-10-24 12:27:38.137451-03,,,0.500065,0.5033386
167,3657c4fd-00e7-49eb-babd-eaa0e1cc5587,Masculino,36,Metropolitana de Santiago,3,2019-10-24 12:27:45.954771-03,,,0.49751955,0.4972977
168,870d62d9-92f1-44ae-915c-cf1d07cb4d21,Masculino,44,Metropolitana de Santiago,5,2019-10-24 12:27:50.251307-03,,,0.49962753,0.5002422
169,870d62d9-92f1-44ae-915c-cf1d07cb4d21,Masculino,44,Metropolitana de Santiago,5,2019-10-24 12:27:55.755677-03,,,0.49962753,0.5002422
170,42105ad8-d416-4599-a431-7cf3c73b0995,Masculino,46,Metropolitana de Santiago,5,2019-10-24 12:27:56.621413-03,,,0.49574688,0.49927148
171,568078ad-7cf5-4011-9422-eb2105d4abc8,Masculino,26,Los Ríos,4,2019-10-24 12:28:08.893183-03,,,0.49751058,0.49743634
172,568078ad-7cf5-4011-9422-eb2105d4abc8,Masculino,26,Los Ríos,4,2019-10-24 12:28:10.633436-03,,,0.49751058,0.49743634
173,568078ad-7cf5-4011-9422-eb2105d4abc8,Masculino,26,Los Ríos,4,2019-10-24 12:28:12.525651-03,,,0.49751058,0.49743634
174,568078ad-7cf5-4011-9422-eb2105d4abc8,Masculino,26,Los Ríos,4,2019-10-24 12:28:12.859802-03,,,0.49751058,0.49743634
175,568078ad-7cf5-4011-9422-eb2105d4abc8,Masculino,26,Los Ríos,4,2019-10-24 12:28:12.913929-03,,,0.49751058,0.49743634
176,568078ad-7cf5-4011-9422-eb2105d4abc8,Masculino,26,Los Ríos,4,2019-10-24 12:28:13.657758-03,,,0.49751058,0.49743634
177,56d5d8cc-0d0c-4de5-87ec-920aa1728801,Femenino,29,Maule,5,2019-10-24 12:28:27.299803-03,,,0.49901426,0.50436956
179,56d5d8cc-0d0c-4de5-87ec-920aa1728801,Femenino,29,Maule,5,2019-10-24 12:28:35.519775-03,,,0.49901426,0.50436956
180,56d5d8cc-0d0c-4de5-87ec-920aa1728801,Femenino,29,Maule,5,2019-10-24 12:28:36.400283-03,,,0.49901426,0.50436956
182,40f9c4c9-e592-46f7-9b88-1cc6e06b71c1,Femenino,23,Metropolitana de Santiago,6,2019-10-24 12:28:44.293593-03,,,0.49768308,0.49968708
184,40f9c4c9-e592-46f7-9b88-1cc6e06b71c1,Femenino,23,Metropolitana de Santiago,6,2019-10-24 12:28:54.845656-03,,,0.49768308,0.49968708
183,1b455126-03a9-4556-bc63-124dfae94737,Masculino,33,Metropolitana de Santiago,5,2019-10-24 12:28:46.923357-03,,,0.49910164,0.5010336
