id,uuid,sex,age,region,politica,datetime,score,ip_hash,z1,z2
15,a6cf9d29-f7e3-4256-8d5c-d4ef679e2a77,Femenino,37,Metropolitana de Santiago,0,2019-10-24 11:58:42.035951-03,,,0.49785298,0.50308603
16,780cd182-294d-4758-ad9e-d38783807dc4,Masculino,33,Metropolitana de Santiago,6,2019-10-24 11:59:07.487991-03,,,0.49920782,0.5047237
17,2303db04-e52b-4308-a7f3-6af4f656f27a,Masculino,27,Metropolitana de Santiago,2,2019-10-24 11:59:29.598672-03,,,0.49832934,0.5000474
18,4bc509b3-c36c-4629-b987-35694cbf5e7c,Masculino,30,Metropolitana de Santiago,7,2019-10-24 11:59:34.998867-03,,,0.5019025,0.49233064
19,4bc509b3-c36c-4629-b987-35694cbf5e7c,Masculino,30,Metropolitana de Santiago,7,2019-10-24 11:59:35.323535-03,,,0.5019025,0.49233064
20,85945e66-b43e-4872-a287-1f3f017a1c8c,Masculino,24,Biobío,5,2019-10-24 11:59:38.440349-03,,,0.5023576,0.4976871
21,a6b5cf66-12c2-4045-afe5-6e0244323228,Masculino,38,Metropolitana de Santiago,5,2019-10-24 11:59:43.164971-03,,,0.49664265,0.50178146
22,40286aed-57b5-45c8-84c2-9ae0679ed529,Masculino,38,Metropolitana de Santiago,9,2019-10-24 11:59:48.21519-03,,,0.5052388,0.50129247
23,5faea5d4-6a36-4095-b7c6-639b30f8b1fa,Femenino,32,Coquimbo,5,2019-10-24 11:59:48.747635-03,,,0.4994347,0.49931177
24,f47c433f-13e4-4b1b-bf51-e4bd4444fa30,Femenino,35,Metropolitana de Santiago,7,2019-10-24 11:59:50.724358-03,,,0.49929506,0.5009814
25,62ebf0dc-d87c-4994-b0db-293cfd03d2e8,Femenino,24,Metropolitana de Santiago,3,2019-10-24 11:59:51.491087-03,,,0.4997078,0.49942598
26,9362b218-f50a-45dd-8bd9-d95f2fed9645,Masculino,30,Metropolitana de Santiago,3,2019-10-24 11:59:54.400634-03,,,0.49655473,0.4960304
27,79c13dc4-efff-4acf-acc8-cc674bf0b5f5,Masculino,29,Metropolitana de Santiago,1,2019-10-24 11:59:59.524308-03,,,0.4963467,0.50046504
28,e7ece3b9-4f0d-4ac4-9737-952cce26fc77,Masculino,38,Metropolitana de Santiago,5,2019-10-24 12:00:09.540575-03,,,0.50353634,0.5044089
29,1ca4cf5c-14d4-453d-8ff1-2cc20cbfe2fd,Masculino,33,Metropolitana de Santiago,4,2019-10-24 12:00:22.176645-03,,,0.4976718,0.5006729
30,6e36db91-7e91-4c67-b105-31091ad9b05c,Masculino,33,Metropolitana de Santiago,5,2019-10-24 12:00:22.230221-03,,,0.49894214,0.49489802
31,6e36db91-7e91-4c67-b105-31091ad9b05c,Masculino,33,Metropolitana de Santiago,5,2019-10-24 12:00:22.33901-03,,,0.49894214,0.49489802
